"","mode","price.beach","price.pier","price.boat","price.charter","catch.beach","catch.pier","catch.boat","catch.charter","income","fold","logincome"
"1","charter",157.93,157.93,157.93,182.93,0.0678,0.0503,0.2601,0.5391,7083.3317,3,8.86549965509619
"2","charter",15.114,15.114,10.534,34.534,0.1049,0.0451,0.1574,0.4671,1249.9998,9,7.13089867029633
"3","boat",161.874,161.874,24.334,59.334,0.5333,0.4522,0.2413,1.0266,3749.9999,3,8.22951109229779
"4","pier",15.134,15.134,55.93,84.93,0.0678,0.0789,0.1643,0.5391,2083.3332,10,7.64172439006234
"5","boat",106.93,106.93,41.514,71.014,0.0678,0.0503,0.1082,0.324,4583.332,8,8.43018152351747
"6","charter",192.474,192.474,28.934,63.934,0.5333,0.4522,0.1665,0.3975,4583.332,10,8.43018152351747
"7","beach",51.934,51.934,191.93,220.93,0.0678,0.0789,0.1643,0.5391,8750.001,8,9.07680909363737
"8","charter",15.134,15.134,21.714,56.714,0.0678,0.0789,0.0102,0.0209,2083.3332,8,7.64172439006234
"9","boat",34.914,34.914,34.914,53.414,0.2537,0.1498,0.0233,0.0219,3749.9999,10,8.22951109229779
"10","boat",28.314,28.314,28.314,46.814,0.2537,0.1498,0.0233,0.0219,2916.6666,5,7.97819666782641
"11","pier",34.914,34.914,24.334,48.334,0.1049,0.0451,0.1574,0.4671,3749.9999,7,8.22951109229779
"12","boat",312.144,312.144,16.722,51.722,0.5333,0.4522,0.2413,1.0266,7083.3317,6,8.86549965509619
"13","pier",17.862,17.862,4.122,28.122,0.1049,0.0451,0.0023,0.0046,1249.9998,4,7.13089867029633
"14","pier",15.134,15.134,55.93,84.93,0.0678,0.0789,0.0014,0.0029,2083.3332,1,7.64172439006234
"15","beach",74.514,74.514,74.514,93.014,0.2537,0.1498,0.2339,0.6288,8750.001,5,9.07680909363737
"16","pier",33.534,33.534,123.93,152.93,0.0678,0.0789,0.1643,0.5391,5416.6667,3,8.59723590524362
"17","beach",48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5416.6667,1,8.59723590524362
"18","pier",33.462,33.462,7.722,31.722,0.1049,0.0079,0.0613,0.3087,2916.6666,5,7.97819666782641
"19","boat",211.344,211.344,11.322,46.322,0.5333,0.0069,0.0361,0.4216,4583.332,4,8.43018152351747
"20","boat",49.062,49.062,11.322,35.322,0.1049,0.0451,0.1574,0.4671,4583.332,9,8.43018152351747
"21","charter",345.744,345.744,18.522,53.522,0.5333,0.4522,0.0156,0.0058,7916.6663,7,8.97672547447889
"22","charter",88.062,88.062,20.322,44.322,0.1049,0.0451,0.0023,0.0046,8750.001,7,9.07680909363737
"23","boat",100.674,100.674,15.134,50.134,0.5333,0.4522,0.1665,0.3975,2083.3332,9,7.64172439006234
"24","charter",28.314,28.314,19.734,43.734,0.1049,0.0079,0.0613,0.3087,2916.6666,1,7.97819666782641
"25","charter",33.462,33.462,34.32,69.32,0.0678,0.0789,0.0559,0.6456,2916.6666,7,7.97819666782641
"26","beach",67.784,67.784,17.862,52.862,0.5333,0.4522,0.2413,1.0266,1249.9998,3,7.13089867029633
