"","Var1.ch1","Var1.ch2","Var1.ch3","Var2.ch1","Var2.ch2","Var2.ch3","Var3.ch1","Var3.ch2","Var3.ch3","Var4.ch1","Var4.ch2","Var4.ch3","Var5.ch1","Var5.ch2","Var5.ch3","XDemo","choice","fold"
"20",0.355274113593623,0.579269451322034,0.110717812087387,0.807900375220925,0.340130382217467,0.361246814485639,0.129032714059576,0.977105067344382,0.734280825359747,0.519303157925606,0.814423459582031,0.267950469162315,0.92304731765762,0.0842585738282651,0.282852962845936,0.170221200212836,"ch2",20
"41",0.472590120276436,0.0144071450922638,0.0286653141956776,0.887578183785081,0.124678937718272,0.357255874900147,0.838720639003441,0.384027246851474,0.739931147079915,0.928154881112278,0.492423641262576,0.191741864429787,0.906829187879339,0.706015874398872,0.989154438255355,1.07962015969679,"ch1",20
"62",0.180786234326661,0.767942123347893,0.322225826093927,0.18921140441671,0.70140778995119,0.925377808744088,0.326728764921427,0.75367552950047,0.784914972027764,0.248135244008154,0.496920665260404,0.0228886967524886,0.824871416203678,0.419069265713915,0.528833901276812,1.26951090153307,"ch3",20
"83",0.0473926074337214,0.801745087606832,0.103933679172769,0.631134670460597,0.885075591504574,0.161150156287476,0.854227395961061,0.916210818104446,0.381267016055062,0.308098786044866,0.120152074145153,0.682944674044847,0.603485526517034,0.286397208692506,0.298367165029049,1.56956979865208,"ch2",20
"104",0.396773008396849,0.350598410936072,0.72898278478533,0.626031101448461,0.449635308701545,0.224229221232235,0.788734834641218,0.851669442839921,0.115833945572376,0.838485217420384,0.505464992951602,0.0243981548119336,0.588233176385984,0.595491707557812,0.164670187514275,0.472967180423439,"ch1",20
"125",0.399516259785742,0.67937075253576,0.584478462347761,0.498647355474532,0.026987443678081,0.537812028313056,0.159617635654286,0.199738798197359,0.863912149332464,0.257162709720433,0.280875253723934,0.837628015317023,0.690416688332334,0.985368937253952,0.30046677403152,0.989450484979898,"ch3",20
"146",0.724526309175417,0.85940310289152,0.641123504843563,0.0600959341973066,0.591468972386792,0.52042716066353,0.193148903083056,0.993020867230371,0.83852742658928,0.0020825348328799,0.458918916294351,0.428238479886204,0.518786336993799,0.201346372254193,0.586920207832009,1.80609061568975,"ch2",20
"167",0.18923321319744,0.750198622699827,0.916204462293535,0.377463613636792,0.11284151673317,0.335713308304548,0.325699120061472,0.0226607031654567,0.866863668197766,0.576764971250668,0.149484747322276,0.236342161428183,0.0439719071146101,0.478046802338213,0.607793902978301,1.59279317362234,"ch3",20
"188",0.418009974528104,0.964073240756989,0.267734821420163,0.0108558828942478,0.822657245444134,0.613999187014997,0.321506866253912,0.478839775081724,0.611958383116871,0.107395024970174,0.510350844124332,0.730005885241553,0.815336668398231,0.12380367773585,0.528962473617867,0.933559473138303,"ch2",20
"209",0.529754963470623,0.775664378656074,0.939600989688188,0.649321808246896,0.836534599540755,0.988368039019406,0.903947060229257,0.515974130481482,0.292096773860976,0.596447736024857,0.358623250154778,0.389359111897647,0.682809716789052,0.273705824045464,0.805708336876705,1.72750006522983,"ch1",20
"230",0.846198858460411,0.202554906718433,0.772258560406044,0.131883908296004,0.784318406833336,0.561457206960768,0.272435705177486,0.0630708797834814,0.259927617851645,0.54495302750729,0.499080285197124,0.874481840524822,0.741652076831087,0.583480071509257,0.240872862515971,0.882390680722892,"ch1",20
"251",0.144951065769419,0.36985142622143,0.764954931801185,0.436614149948582,0.990708584664389,0.934432398993522,0.779720453778282,0.511763758957386,0.887342856032774,0.323800922837108,0.213554396992549,0.477493196027353,0.827132992912084,0.579237262019888,0.205716134048998,1.80494449986145,"ch1",20
"272",0.869253244716674,0.158952056663111,0.378349065547809,0.600273297633976,0.185775181511417,0.682309076655656,0.396899885265157,0.0515940510667861,0.0286166749428958,0.763257738435641,0.342702572699636,0.697001063497737,0.547220644308254,0.191984805744141,0.620364966103807,0.394621260929853,"ch1",20
"293",0.868915546685457,0.0401473415549845,0.439551086397842,0.684063126100227,0.764554620021954,0.742953642271459,0.55857126484625,0.133334594080225,0.803115537157282,0.799391441280022,0.114872590871528,0.115153606748208,0.573006297461689,0.0870949828531593,0.783340221503749,0.256296285893768,"ch1",20
"314",0.607160665560514,0.741007158532739,0.393844180041924,0.692313326289877,0.15456812735647,0.474899034248665,0.155241043772548,0.619230268523097,0.931783942040056,0.12463222630322,0.549605321604759,0.62296356074512,0.190800375537947,0.518955969251692,0.265311106108129,0.948576930910349,"ch3",20
"335",0.0237048780545592,0.260107535868883,0.616486745420843,0.596311455825344,0.313130190828815,0.669564652489498,0.610685640480369,0.209645015420392,0.546879877103493,0.421531639294699,0.285236751195043,0.225903435144573,0.224197493633255,0.662759005557746,0.757888025138527,1.10769489547238,"ch1",20
"356",0.133486660430208,0.355389189440757,0.629537499742582,0.0884767533279955,0.543937892885879,0.0465602839831263,0.831691104685888,0.406536744441837,0.44498494034633,0.367702588904649,0.595437948592007,0.980850750114769,0.65154694695957,0.923463511280715,0.695438456954435,0.861716131214052,"ch1",20
